bot_id,path,validation_ok,validation_errors,qualified,baseline_bankroll,submission_bankroll,notes
IIT2024037/python_bot,/Users/ajaykathar/Documents/projects/PokerBots-IIITA/submission/IIT2024037/python_bot,True,,True,-8416,8416,
test/python_bot,/Users/ajaykathar/Documents/projects/PokerBots-IIITA/submission/test/python_bot,True,,True,-6272,6272,
